machine_id,site_session_id,domain_id.x,ref_domain_name,pages_viewed,duration,event_date.x,event_time.x,tran_flg,domain_name.x,prod_category_id,prod_name,domain_id.y,prod_qty,prod_totprice,basket_tot,event_date.y,event_time.y,domain_name.y
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,SATINIQUE Volumising Mousse,6.76E+18,3,13.05,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,59,Amway Catalog 3-Pack,6.76E+18,2,7.2,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?All Fabric Bleach,6.76E+18,1,9.75,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?Dishwasher Detergent,6.76E+18,1,10.65,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,XS Energy Drink Cranberry-Grape Blast,6.76E+18,1,27.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?Fabric Softener  Floral,6.76E+18,1,30.2,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,"LEGACY OF CLEAN?Bathroom Cleaner, Concentrated Refill",6.76E+18,2,25.2,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Men's Packs,6.76E+18,1,28.2,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Snack Bars  Caramel Crme,6.76E+18,2,34.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,BODY SERIES Deodorant & Antiperspirant Roll-on,6.76E+18,4,20.8,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?SA8 Concentrated Detergent,6.76E+18,3,36.3,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,ARTISTRY essentials Mascara - Black,6.76E+18,1,15.45,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,PURSUE Disinfectant Deodorizer Spray,6.76E+18,1,8.95,968.2,20140117,0:01:51,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Ideal Dual Powder Foundation - Linen,6.76E+18,1,23.65,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite MEMORY BUILDER?Dietary Supplement,6.76E+18,1,62.6,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Satinique Volumising Mousse,6.76E+18,1,4.35,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite Twist Tubes - Strawberry Kiwi flavor for Immunity,6.76E+18,1,21.6,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Foundation Sponge,6.76E+18,1,1.05,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite Women's Pack,6.76E+18,1,28.2,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Ideal Compact,6.76E+18,1,15.9,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Legacy of Clean All Fabric Bleach,6.76E+18,1,9.75,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Legacy of Clean Prewash Spray,6.76E+18,3,29.55,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,"Nutrilite Complex for Hair, Skin and Nails",6.76E+18,1,21.3,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Youth Xtend?Advanced Creamy Foam Cleanser,6.76E+18,1,38,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Legacy of Clean Fabric Softener  Floral,6.76E+18,1,30.2,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite Vision Health w/Lutein - 62 Count,6.76E+18,1,38.55,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite DOUBLE X Vitamin/ Mineral/ Phytonutrient - 31-Day Refill,6.76E+18,1,83,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite Invisifiber Powder,6.76E+18,3,111.75,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Ideal Compact,6.76E+18,1,14.85,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Nutrilite Men's Packs,6.76E+18,2,56.4,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,Artistry Ideal Translucent Pressed Powder,6.76E+18,1,24.85,610.45,20140219,23:03:49,amway.com
92117262,64476025900,6.75873E+18,NA,40,44,20140219,22:26:46,1,amway.com,16,TOLSOM Shave Gel,6.76E+18,1,10.8,610.45,20140219,23:03:49,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,LEGACY OF CLEAN?Fabric Softener  Floral,6.76E+18,1,30.2,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,LEGACY OF CLEAN?L.O.C. Multi-Purpose Cleaner,6.76E+18,1,7.05,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,XS Energy Drink Cranberry-Grape Blast,6.76E+18,1,27.6,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,ARTISTRY Balancing Foundation - Pearl,6.76E+18,1,27.25,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,NUTRILITE Concentrated Fruits and Vegetables - Tablets - 60 Count,6.76E+18,1,45.15,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,Deposit Sku - (.05),6.76E+18,84,4.2,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,LEGACY OF CLEAN?All Fabric Bleach,6.76E+18,1,9.75,964.6,20140116,23:58:51,amway.com
92117262,78324306954,6.75873E+18,NA,46,51,20140116,23:08:46,1,amway.com,16,LEGACY OF CLEAN?DISH DROPS Concentrated Dish Liquid,6.76E+18,2,19.6,964.6,20140116,23:58:51,amway.com
